#Symbol	GeneID	Total_submissions	Total_alleles	Submissions_reporting_this_gene	Alleles_reported_Pathogenic_Likely_pathogenic	Gene_MIM_number	Number_uncertain	Number_with_conflicts
POLB	5423	35	35	#	1	174760	#	#
POLDIP3	84271	20	19	#	1	611520	#	#
POLI	11201	39	36	#	1	605252	#	#
POLR2K	5440	23	22	#	1	606033	#	#
POLR3C	10623	114	109	#	1	#	#	#
POMP	51371	23	22	2	1	613386	0	1
POMZP3	22932	26	26	#	1	600587	#	#
POT1	25913	26	26	12	1	606478	0	1
POTEA	340441	40	40	#	1	608915	#	#
PPARGC1A	10891	17	17	#	1	604517	#	#
PPEF1	5475	127	121	#	1	300109	#	#
PPFIBP1	8496	25	24	#	1	603141	#	#
PPIL3	53938	22	22	#	1	615811	#	#
PPM1D	8493	27	27	17	1	605100	0	1
PPM1K	152926	12	12	1	1	611065	#	#
PPP1R13L	10848	7	7	#	1	607463	#	#
PPP1R15B	84919	4	4	1	1	613257	#	#
PPP1R1C	151242	18	18	#	1	613240	#	#
PPP1R21	129285	7	7	#	1	#	#	#
PPP1R3A	5506	23	22	12	1	600917	0	2
PPP2R1B	5519	3	3	1	1	603113	#	#
PPP2R2B	5521	12	12	4	1	604325	0	3
PPP2R2C	5522	48	48	#	1	605997	#	#
PPP2R2D	55844	54	54	#	1	613992	#	#
PPP2R3B	28227	126	120	#	1	300339	#	#
PPP2R5C	5527	27	27	2	1	601645	0	2
PPP4R3B	57223	6	6	#	1	610352	#	#
PPP5D1	100506012	8	8	#	1	#	#	#
PPP6C	5537	26	23	#	1	612725	#	#
PQLC1	80148	107	103	#	1	#	#	#
PRAF2	11230	124	118	#	1	300840	#	#
PRDM14	63978	21	21	#	1	611781	#	#
PRDM15	63977	64	58	#	1	#	#	#
PRDM2	7799	24	24	#	1	601196	#	#
PRDM7	11105	35	35	#	1	609759	#	#
PRDM8	56978	13	13	1	1	616639	#	#
PRELID2	153768	8	8	#	1	#	#	#
PRELID3B	51012	8	7	#	1	#	#	#
PRH1	5554	24	24	#	1	168730	#	#
PRH1-PRR4	100533464	14	14	#	1	#	#	#
PRH1-TAS2R14	106707243	14	14	#	1	#	#	#
PRICKLE2	166336	120	112	115	1	608501	1	76
PRIMPOL	201973	68	68	1	1	615421	#	#
PRKAB2	5565	189	177	#	1	602741	#	#
PRKACG	5568	33	31	1	1	176893	#	#
PRKAG3	53632	20	20	11	1	604976	0	10
PRKAR1B	5575	39	38	1	1	176911	0	1
PRKCE	5581	17	17	#	1	176975	#	#
PRKX	5613	155	149	#	1	300083	#	#
PROX1	5629	10	10	#	1	601546	#	#
PRR14L	253143	11	10	#	1	#	#	#
PRR23A	729627	18	18	#	1	#	#	#
PRR29	92340	7	7	#	1	#	#	#
PRR5	55615	32	31	#	1	609406	#	#
PRRX2	51450	32	30	#	1	604675	#	#
PRSS12	8492	73	65	65	1	606709	1	40
PRSS21	10942	19	19	#	1	608159	#	#
PRSS27	83886	17	17	#	1	608018	#	#
PRSS46	100287362	3	3	#	1	#	#	#
PRTG	283659	9	9	#	1	613261	#	#
PRY	9081	58	58	#	1	400019	#	#
PSD3	23362	57	57	#	1	614440	#	#
PSG3	5671	13	13	#	1	176392	#	#
PSMC3IP	29893	7	7	2	1	608665	#	#
PSMD9	5715	16	16	#	1	603146	#	#
PTCHD4	442213	3	3	#	1	616908	#	#
